Genes	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-D10_1_8450.d
NFATC1										3562.86			4404.13	4600.2	3649.66	
NFATC2	2787.37	2035.08	2258.89	1820.44	2613.32	2292.43	2087.26	1887.28	16645.7	15647.8	11660	17405.5	8787.01	6249.16	6744.74	8917.66
NFATC2IP	2093.06	1185.03	2692.71	1976.18	4762.43	4728.87	4605.94	5855.44	4075.89	2664.68	2736.7	2832.86	2475.61	2607.04	1974.76	2847.8
NFATC4	4391.12	5671.76	5048.02	4298.47												
NFIB	8303.48	6954.25	6856.62	8850.13	23752.9	21183.5	19247.1	23320.9								
NFIC	6817.75	4513.14	6036.94	5953.6	13418	17123.1	11216.7	11678.2	4803.32	3446.57	4972.22	5678.85	4336.08	3100.77	4358.09	3844.39
NFIX	9764.94	7073.92	6393.59	7954.52	6668.83	6560.68	5237.2	6972.07								
NFKB1	19845.1	17994	16246.6	20631.6	32177.1	31070.4	31030.2	31768.1	32538.6	32166.2	29410.8	33598.2	26683.7	24965.5	21824.4	25075.4
NFKB2	19885.5	17978.7	15828.1	19149.4	18561.4	15380.5	17678	17264.3	13557.5	14798.2	15547.7	16107.8	7887.49	9358.66	8042.89	7743.82
NFKBIB														3294.88	3006.09	3705.25
NFKBIE	3249.26	3329.34	3875.95	3640.78	4297.77	4130.73	3673.71	3308.93	5243.75	5524.93	4829.22	7270.44	7790.56	7775.92	7248.75	7972.96
NFRKB	1117.48	747.935	1134.07	324.816	1436.4	1805.2		908.526	1009.55	1708.86	1390.24	1672.61	1739.45	1605.39	1294.4	1292.32
NFS1	7267.14	8720.17	10391	8099.36	7028.89	8039.23	9001.28	7138.31	11560.1	10656.8	11654.4	11107.6	11914.2	12813.9	12698.7	11981
NFU1	9916.05	9614.91	8970.07	7835.59	5730.87	6274.19	4816.78	5395.08	14212.1	11022.2	11867.6	13582.6	15590.6	16287.2	16461.2	16871.7
NFXL1	10372.6	8711.5	9550.69	8698.72	10216.7	10461	10734.4	10502.2	5098.24	4710.24	3846.11	5988.21	3485.29	4340.49	3808.14	3808.51
NFYB	2366.62	2081.95	3253.04	1870.7	12649.4	5606.3	14003.5	15140.6	6869.01	3433	6472.95	6608.28	7018.87	7268.64	7338.16	8356.2
NFYC	15129	13744.4	13877.1	13928.9	27533.8	28811.5	23447.2	28297.7	11714.2	12721.5	9137.45	14060.3	13118.8	12825.4	13457.8	12455.8
NGLY1	4788.63	4847.57	2437.04	4523.27	3850.77	4290.46	3863.7	5412.32	4469.33	3171.2	2431.74	3097.21	3964.95	2772.54	3098.96	3138.53
NHEJ1	4948.93	5369.56	3149.61	4099.33	3610.65	5332.97	4622.37	3892.06	2912.92	2950.44	3067.1	3607.58	2984.07	2659.76	2864.16	2298.93
NHLRC2	24793.2	22937.3	21094.8	20999.3	31197.2	26969.4	32070.4	29757.6	18115.2	16513	15673.5	18321.2	15816.2	16782.8	14849.5	17426.8
NHLRC3				1438.8		2030.08			2720.87	2504.12	2689.61	3019.62	3836.69	3387.61	3630.9	2679.56
NHP2	6562.82	4751.66	11131.2	2835.51	16267.2	19122.6	19852.7	19909.9	9130.64	11768.9	10753	9756.79	6491.21	16917.6	9503.37	8327.41
NHSL2	7191.52	6618.84	6826.16	8381.49					2518.06		2143.55					
NIBAN1	25594.9	24751.9	30286.7	23102.3	18532.4	17208.4	21563.2	20348.5	21556.5	19914.1	19179.1	20536.3	45129.8	48374	48551.8	51461.2
NIBAN2	116586	132420	124815	144843	84222.8	98015.3	84892.7	101838	67801.6	73036.8	61014.7	64340.7	115884	105294	119764	100262
NID2	2967.03	2185.45	1698.63	2663.15												
NIF3L1	14949.7	19423.7	19815.9	17591	19283	22312.3	23298.9	22820.2	11729.8	13189.9	13991.6	15264.1	13049.2	14024.1	14121.4	14853
NIFK	6823.88	7471.63	7578.97	4759.46	7054.69	4943.85	5883.42	6570.38	8516.13	5219.86	7774.26	8866.63	7259.08	5666.26	8745.2	10178.9
NINJ1									8220.15	14865.1	14778.9	5808.75	5419.54	6511.61	5681.12	5181.91
NIP7		3386.63	3694.94						5442.15	7097.07	5858.43		7673.92	11107.6	11175.3	8117.82
