Genes	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-D10_1_8450.d
SCAF11	17637.4	14012.3	13474.4	13049.9	20618.7	17920.5	20510.6	21176.8	18265.5	15376.7	18622.9	22115.6	16103	13212.4	12335.5	17938.6
SCAF4	7250.84	5528.77	6332.29	7076.71	9587.52	8350.47	11366.9	10531.8	9310.32	9059.14	8902.08	10419.4	9335.74	8988.98	8202.54	7790.81
SCAF8	5319.69	4924.01	6406.24	5471.44	5660.78	5328.02	5777.85	6842.23	4802.85	4345.82	4959.34	4744.83	5793.84	4976.88	4572.35	5125.71
SCAMP1	8609.27	11309.4	9721.89	8256.07	8753.9	9768.23	14019.9	8530.32	10521.3	12230.1	12302.6	12109	8416.86	6976.73	6740.29	6764.01
SCAMP2	21046.9	22943.9	28110.7	30164.9	15117.6	15036.3	14629.3	12040.1	135144	177420	95042	117993	59442	63433.9	65816	52037
SCAMP3	27242.4	25268.7	23563.8	24213.3	30185.7	23641.1	29914.5	26856.9	35396	29344.6	26961.2	33827.1	30046.6	21529.7	22102.9	24375.6
SCAP			812.099						656.737	1209.7	1536.56			1136.55	794.825	
SCARB1					13710.2	12529.5	14671.5	13894.2	37095.7	33233.9	24548	40797.6	7717.83	5953.47	5245.8	7632.49
SCARB2	45745.3	41078.2	51091	44906.7	39783.6	37249	35014.4	43382	146275	169998	136951	137810	100706	119138	114803	85228.7
SCARF2	8457.58	6615.25	5537.04	5823.06	4398.7	6207.63	4744.61	3763.45					1970.45			
SCCPDH	48889.7	57315.8	86390.6	68786.1	34870.6	40183.4	40216.9	36164.8	78082.6	80399.6	67291.2	68212.5	74753.2	81831.2	81385.3	80382.6
SCD	4948.2	4980.81	7990.08	7932.2	14532.9	19358.5	20427.2	21797.5	17092.1	21257.5	14270	10656.1		11070.4	11849.7	9865.6
SCD5	15284.5	12200.3	9843.63	12645.8	9095.33	9934.37	10180.1	11577.8		1579.97						
SCFD1	43392.6	40449.1	36792.3	38375.2	11730.7	12467.7	9913.65	10864.6	28919.8	26310.1	26034.6	30406.1	31366.1	31236.9	34481.8	32753.6
SCFD2	13982.9	13936.7	11525.1	13542.3	6627.57	5512.58	7950.33	7072.62	7668.08	7019.17	6091.21	7921.94	7434.46	6885.83	6240.73	6861.36
SCGB1A1	23561.9	929.911	1228.48						865.771		1021.55	1012.43		695.118	688.583	687.956
SCGB1D1	197263	6068.87	4875.41		6091.71	4278.25	7590.32		8763.04	4206.61	7015.43	8239.96	8325.58	9805.61	6460.11	9873.68
SCGB1D2	2.09859e+06	97737.5	69636.3	11008.3	44578.9	36412.3	31402.6	30844.4	91112.3	27940.7	77218.9	105652	74957.9	32281.7	22852.4	67673.4
SCGB2A1	6219.58		4826.09							11826.8	12935.8	13580.7	10617.3	18425.3	12623.5	12901.3
SCGB2A2	466303	15602.7	3636.84		61976.3	46378.9	65272.3	38982.8	106672	34243.8	22893.7	57328.1	87621.5	59916.7	42457.8	58125.4
SCIN		4555.3		1763.24			27826.6		14045	26279.6	20139.1	19849	81007.5	99942.1	156810	95709.3
SCLT1	449.638	602.155		753.322	1031.42		916.884	742.548								
SCLY	4197.18	6022.42	4984.57	5376.58	5395.24	5644.81	5201.7	4634.79	8255.59	9816.98	7759.38	9550.93	6801.31	8500.5	7694.47	6545.04
SCN1A	37192.3	23152.2	16288.4		38026.4	13243.8	39839		39956.6	42598.3	83850.6	72354.6	59697.7		6308.43	47290.3
SCO1	20784.5	35389.3	57743.7	50947.6	18645.7	32811.8	34879.7	30984.3	45822.1	46880.9	45660.3	54785.2	47937.1	57267.7	60047.1	47663.7
SCO2	12295	12975.1	9714	11147.9	6159.02	7381.96	5992.88	7801.36	24667	21330.5	21259	24478	22100.3	19808.2	20518.5	19351.4
SCOC	8471.37	11434.3	13159.7	10665.8	7940.52	7443.12	4684.15	6006.84	5165.16	6245.3	6241.77	5671.82	5499.66	5069.35	4691.29	4200.73
SCP2	93416.4	176176	200417	171295	71456.5	78994.3	105885	114156	151981	204417	165136	163541	155117	202382	207563	162708
SCPEP1	26646.5	25045.7	21102.5	20218.8	15178.3	12037	11226.2	11761.2	56140.5	53317.4	50326.8	58096.2	188781	157552	135196	170536
SCRIB	17710.7	16560.8	16340.3	15982.8	25629.4	25165.7	22289.1	23079.9	14889.2	12888.3	13595.9	14178.1	13763.8	11301	11798.9	13074.9
SCRN1	115212	122722	104476	129603	50855.5	55593.7	56716.6	59217.2	35228.8	38523.9	36460.8	40165.6	31807.2	29547.2	24759.1	30390.1
SCRN2	4021.37	5478.87	7084.6	4911.99	2914.91	4666.46	2383.62	3241.85	4243.69	4841.74	6217.49	4395.26	4104.22	6906.77	5587.09	4788.77
SCRN3	6394.73	6978.03	6054.5	6874.24	6141.7	6469.3	6440.5	5285.81	6899.24	5584.77	4216.38	5445.76	5700.26	5238.2	5421.94	5107.09
SCYL1	24428.8	22856.1	17004	20872.9	13838.8	13537.7	13603.3	11224.4	17706.5	13937.6	14687.7	16286.4	12642.6	11732.5	11899.3	13200.4
SCYL2	24102.1	23403.1	21940.3	20390.7	19565.7	18792.4	19518.6	18132.1	20281	15177.2	19420.3	21213.4	18431.7	15138.3	18517.5	19636.5
SCYL3		357.402	214.647	424.211						160.707	368.764			578.833	568.951	563.209
SDAD1	8955.95	6635.92	7469.44	7278.72	7596.07	7898.68	6751.79	8146.58	7948.29	5990.16	7046.88	5891.84	7042.03	6800.1	7895.06	6948.55
SDC1	14607.5	14410.8	15248.3	14468.9		4059.51	4978.6	5705.25			2560.45					
SDC2	25592.9	28366.6	25629.3	19093.6	10970.6	6958.05	10539.3	9228.94	8406.51	7993.88			11460.3	7561.14	8104.27	9153.39
SDCBP	18207	16613.8	14435	15055.6	12637.4	10234.8	9577.6	11783.1	411914	311966	356391	429376	35575.3	32358.7	34632.9	28942.3
SDCCAG8	1815.34	2898.4	1653.76	2282.66	1805.49	2382.48	2010.66	2478.66	1805.59	2498.28	2449.55	2630.23	2679.48	1872.71	2652.3	3207.7
SDE2	14911.9	9575.9	8824.52	9356.02	9851.91	7882.46	7891.77	6633.05	10682.8	7780.99	10070	11579.7	11449.8	6934.75	7317.03	11593.8
SDF2		4178.41	4447.32	6295.25					5595.25	5700.8	7762.43	7324.3	7686.37	7154.66	9748.45	6520.34
SDF2L1	6177.08	5530.48	6641.99	9213.1		4018.54			9899.62	7337.88	12221.4	11368.8	7285.15	6838.76	8881.11	8737.17
SDF4	37929	30130.4	31206.4	27398.1	11373.8	11504.6	13677.4	11469.7	9488.07	7775.76	8715.11	6827.03	10651.7	7714.52	7896.06	9697.75
SDHA	18024.1	16800.7	20794.8	14709.1	17079	19664.5	15755.7	18708.9	78853.7	89621.3	92787.8	77655	76373.9	111818	105654	86863.3
SDHAF4	1354.27	1702.77	804.767	1815.42	1592.41	2818.35	1340.74	1031.14	4092.61	1850.03	2502.34	3379.12	5218.19	2780.95	2826.34	2945.85
SDHB	22350.8	21481.2	25830.8	18019.6	23332.3	19646.8	24570.2	22349.2	86673	99945.7	85356.4	88671.3	94031	106972	106797	90891.9
SDK1	1624.48	3131.45		2095.99	6275.27	8343.68	7347.76	8892.73						856.193		
SDK2	4565.78	2642.45	4119.98	2281.78												
SDR16C5	4643.2	3081.08	9535.84	3452.35	6334.84		4735.45	8283.89	5479.44	5260.67	15607.3	7313.9	24668.9		2688.77	5547.94
SDR39U1	5468.44	6216.44	6253.73	6041.12	5423.98	5674.89	6056.61	6091.34	8513.67	8310.67	8676.13	10665	10470.7	8259.6	8377.41	8789.75
SDR9C7	14784.1	13352.1	19829.2	8097.21	18500.9	10123.7	16331.2	18736.9	16984.4	17189.8	15602.9	15043.7	17918.2	5712.6	9468.01	14930.6
SDS									5525.78	1572.32	2345.29	1770.26	1394.81	1021.46		
SDSL	11112.2	13049.3	11422.2	11142.9	11022.1	10080.4	12822.7	12921.9	38604.6	26677.3	31198.7	27995.7	66689.1	58021.1	58958.3	63136
SEC11A	88293.6	97902.3	108549	107133	59394.3	66416.6	43317.2	41051.8	88231.3	107306	62063	83746.7	72030.6	74199.8	69949.6	68674.3
SEC11C	4125.01	4518.13	5275.79	4963.87		1665.84			9111.56	10947.6	7932.05	8647.13	9636.77	8667.67	8302.9	7077.9
SEC13	242527	237938	198885	213947	81150.4	97115.9	87000.3	78779.8	66329.7	55668.6	50262.9	75388.7	70506.7	43398.2	58102.9	56176.4
SEC14L1	15856.5	8655.69	8342.88		20741.8	15804	22927.1	16291.3		8533.88				9904.63	5540.25	
SEC14L2	4414.74	6336.16	5718.56	4917.27	18169.7	19463.8	20664.1	20581.5					2306.58		3209.34	
SEC16A	25241.2	24535.8	22713.5	25066.1	14452.5	14985.4	14663.1	13816.5	16111.4	15594.2	15354.6	16128.7	17191	16973.2	15319.3	15984
SEC22B	173975	146749	130366	168146	54497.8	57640.5	53083.5	53498.8	80335.1	65729.2	63076.9	67419.8	76088.7	73596.3	77229.9	75396.5
SEC23A	85191.2	111464	132655	111261	30257.8	22523.3	24143.7	27903.9	29145.9	31449.1	37859.6	26814.4	25599.9	37180.6	34534.7	26972.2
SEC23B	14672	16640.3	17395.4	14780.8	35747	41436.6	36750.3	36686.6	45286.1	50493.9	45653.9	40575.1	39962.1	44658.9	43944.9	39811
SEC23IP	44008.8	41123	36212.5	38817.6	26803.2	23374.2	27840.6	25299.7	32825.8	32135.3	31991.8	32897.6	32165.3	31253.6	34571.3	31057.9
SEC24A	30815.4	28816.5	32047.5	30862.8	16830.7	15872.6	17452.9	16841.9	16774.5	20031.2	18013.8	18420.5	17626	17601.5	16913	17477.9
SEC24B	10597.7	12252.5	12929.5	11727	10367.2	9930.86	8440.7	10216.1	13464.7	12872.7	13433.1	12243.5	11790.2	12606.1	11875.4	10836.5
SEC24C	51704.6	54855.1	52819.8	52319.5	47602.1	46458.7	47089.1	39831.9	55503.5	52007.8	51730	59562.4	56436.7	49375.9	53516	54119.1
SEC24D	50662.2	57408.9	49282.8	56547.7	15091.3	12417.1	12020.1	8511.49	19139.7	17052.9	15464.3	16196.2	14348.5	14706.1	12794	13529.8
SEC31A	165694	201438	217791	203993	67171.8	76201.1	68076	69387.1	64638.3	68834.1	69581.6	64881.7	70306.3	67301.9	64593.9	71505.3
SEC61A1	121800	125235	195901	96094.6	15042.4	18334.3	12823.3	7237.2	77517.9	79360.4	82633.1	63883	91569.1	100691	107225	98141.4
SEC61A2			1769.37						1278.36				1780.29	3151.33		
SEC61B	73278.9	71336.3	69502.2	57143.9	17391.2	19662.3	15121.9	13316.3	40811.3	39499.1	43277.1	40732.9	47869.4	46607.8	55220.6	59177.6
SEC62	16811.8	17792	16244.5	16805.1	11339.5	12484.1	10569.1	11857.8	18499.1	13893	13877.1	13103.6	15712.7	13640.6	11932	12816.6
SEC63	29200.3	29497.1	31689.6	28581.2	14776	17536.4	14276.2	14336.2	22119.6	18961.8	20856.3	18713.6	25379.6	21577.8	25589.8	25616.7
SECISBP2L	7041.98	5550.8	7287.49	4583.39	10723.1	5787.05	11363.4	8648.46	12801.1	10902.6				4729.01	5311.69	
SEH1L	7655.77	10573.8	13459.3	8819.08	6776.63	9790.65	14963.2	10686.5	16420.7	16767	18832.6	18820.4	16998.2	17429.9	18260.2	17322.7
SEL1L	22233.5	19043.6	20788.7	17716.9	16369.7	13697.9	15812.8	12045.5	24950.3	21112	24523.5	28907.7	28419.5	28128.4	27509.4	27446.1
SELENBP1	14344	10176.7	34133.3	9383.36	11829.5	12773.1	13880.5	14659	9733.55	6410.2	13410.3	11187.5	7687.29	2433.95	1784.57	3750.17
SELENOF	54553.4	51187.9	50075.5	47766.8	27411	31848.3	25414.7	27837.3	47832.3	39633.9	37250	42208.8	48809.8	41825.4	38159.5	42887.8
SELENOH	15401.5	14090.6	15837.8	18652.7	26131	27072	26322.4	25399.2	28692.4	25313.9	24095.8	21223.7	34659.3	25333.8	25857.6	26660.6
SELENOK															3693.31	3760.13
SELENOM	13450.6	16026.6	28596.4	20062.7		1022.91					2041.04					
SELENOO	8275.85	9926.8	7604	7088.72	7498.83	9764.92	8484.45	10583.6	10524.7	13316.5	11647	11736	9919.96	10350.9	7757.05	9832.14
SELENOP		4285.73		3201.89					6938.79	5909.81	7123.73	8326.93				
SELENOS	8392.99	9886.54	6951.9	8173.36	6308.56	6468.96	6092.6	7401.65	4392.72	4931.28	3896.32	4599.66	5690.45	6436.73	5902.8	4149.08
SELENOT			1056.68						3040.66	3139.58	3775.09	3061.12	2712.17	3669.44	5758.2	3955.01
SELPLG									14445.6	12741.6	14144.1	17395	12163.1	7176.74	6594.95	7994.5
SEMA3C	10407.6	11936.9	14722	16601.5				583.785								
SENP1	3981.97	3238.88	1620.81	3553.88	5403.37	5737.15	4914.69	4661.18	4325.6	3561.37	3561.88	4502.52	3431.12	3696.73	2448.64	2479.76
SENP2		408.513														
SENP3	5605.29	5646.63	6811.88	4714.53	7052.19	5246.73	5066.91	6613.13	5471.43	6335.6	4918.41	5715.81	6786.14	6605.84	6260.46	6734.8
SENP6	1315.96	1610.89	859.996	1199.74	1698.64	1578.83		1027.04		647.53				356.754	541.491	1622.94
SENP7	1994.83	1880.42	1569.26	1892.5	2272.53	2284.68	1751.78	2038.3	2619.88	1744.79	3139.28	2731.59	2022.55	1473.71	1514.26	
SENP8	11058.2	13196.5	6851.75	11608.4		8966.65	9300.77		8669.16	7755.01	6956.39	9181.15	9190.92	9181.91	8739.21	7438.59
SEPHS1	21001.3	26137	32935.2	21914.4	9520.17	16414.4	13299.5	12103	21219.9	26168.8	21137.9	22955.1	25006.5	20725.2	26489.9	27050.9
SEPHS2	3406.06	3176.43	5139.22	4115.81	3706.75	3514.77	4605.41	4699.85	7290.94	6383.01	6100.44	8184.96	7537.76	9348.61	7682.34	8522.97
SEPSECS	561.263				2054.04	3079.5	2024.46		3116.94	3409.82	2979.52	3557.02	3771.63	3196.22	2551.31	2975.84
SEPTIN10	8953.34	9307.24	9849.61	8839.98	19732.2	14490.1	21050.3	14566.5	17540.4	16294.4	15303.3	18778.8	11021.2	8534.11	8544.92	9370.03
SEPTIN11	143505	163042	148400	154489	39461.7	46184.4	35254.5	36969.4	47107.3	47383.1	51325.3	46008.6	43985	43495	49063.2	45153.6
SEPTIN2	180140	253404	252129	279327	82891.2	102362	112740	113568	138565	174279	139143	129111	103086	143658	132823	109998
SEPTIN3	3400.41	1735.33	1502.56	946.762					8472	8709.92	6862.55	8355.84	3186.09	1235.76	2088.99	2230.59
SEPTIN4	19051.8	23133.4	16945.3	22838.1	10677.6	12028.7	10726.8	12956.4								
SEPTIN5	38770.5	44250.8	43752.2	35068.3	10698.5	11704.2	8897.62	11256.7	7997.82							
SEPTIN6	10757.4	13510.1	11155.4	11881.9	7435.45	9098.24	7276.44	6530.16	20981	18586	24015.5	22821.9	18898.9	18358	19630.6	20335.9
SEPTIN7	93049.1	119267	136650	109469	55641.1	53589.8	60172.5	59705.4	56554	70263.1	67957.6	67162	54257.8	65933.3	66098.7	57575.5
SEPTIN8	30114.1	32661.3	31781.7	30697.6	29902.5	30731.8	26307	25802.1	16595.8	14602.1	20729.5	19250.5	20059.8	13096	15968.2	17233.7
SEPTIN9	186898	211399	176886	187105	139429	149446	140399	146825	156535	157661	153109	167183	100756	93806.2	102167	101527
SERAC1		3877.3		4512.71	6174.5	2955.66	4235.22	2871.12	6160.78	4759	6368.2	7185.74	5745.99	4954.94	3660.55	7208.85
SERBP1	77567.6	72635.3	52089.9	68809.9	76301.8	80735.6	77461.7	76831.4	83384.3	68039.6	62064.1	79522	89956.8	77448.8	91663.9	95111.1
SERF2	16217.6	17323.9	14187.9	12676.4	10432.2	10369.5	9332.11	7502.92	11032.4	6755.15	13735.4	8860.13	11067.2	6137.88	9923.65	10902.8
SERINC1	7519.09	7937.66	7543.12	6908.74	4372.05	5386.4	6257.19	6562.82	15154.6	15276.4	16466.8	19416	6411.26	5475.48	4501.03	5530.06
SERPINA1	37650.8	18217.6	23992.9	7991.58	10258.8	9925.9	12830.7	15665.2	32011	29629.5	37970.5	42248.2	27310.3	38308.8	30108.8	27199.4
SERPINA12	37049.2	18598.3	20868.5	9439.91	35176.8	18845	34647.3	29101	33065.4	20565.8	27697.7	36534.2	72566.9	12606.1	15079.3	26699.7
SERPINA3	89407.1	11339.1	11992.1		5740.88	4230.24	6213.9	4446.87	11725.1	8434.38	13626.3	16453.4	15489.2	10502.7	6542.16	8703.11
SERPINB1	9126.23	11571.8	9244.06	6933.11	63793.9	92075.8	67781.3	60562.3	85927.1	94160.8	79427.8	82887	113884	134714	120750	116229
SERPINB11	2281.3	1215.82	2807.63		2873.25	857.045	1653.13	2278.04	3374.13	2264.52	4480.79	3583.73	4882.17	1833.24	1351.37	2279.07
SERPINB12	95109.9	82222.5	184582	50671.1	144897	69784	130137	139199	190071	203846	280687	171905	221432	87272	91802.8	155025
SERPINB13	12593.6	5573.25	11628.6	2258.14	10922.1	7546.11	13350.1	7713.64	13200.2	9998.97	24694.7	22146	39847.5	6348.54	6273.49	16962.8
SERPINB2			3461.49						3117.54	3727.13	10027.2	4052.22	8126.59	1574.95	2226.21	3715.94
SERPINB3	52599.1	31754.9	90193.2	16262.4	26144.8	35854.4	26923.6	20691.5	100563	95074.2	187254	147165	729005	55708.3	75499.7	102024
SERPINB4	3980.53	2571.36	4531.98			3417.45	3380.41	3226.61	5983.6	5318.8	8059.81	6365.67	20040.1	4315.4	5078.52	5236.59
SERPINB5	10329.7	4040.07	17061.7	2367.83	7214.29	3498.45	9868.66	5151.33	8305.63	5365.21	11239.8	11021.2	18728.2	3713.23	3645.43	6301.46
SERPINB6	5870.21	4986.31	6014.5	5099.46	6777.06	3740.04	6523.49	5689.09	8078.69	6390.36	9570.29	10348.1	12694.9	4646.68	3396.43	4285.55
SERPINB7	11203.5	7169.61	16526.6	22161.5	9559.1	9663.28	6668.23	9731.25	15638	13663.8	18830.8	16501.5	27961.1	5808.9	8468.88	15096
SERPINB8	18556.1	13138.8	15794.4	13039.4	16944.5	10153.2	15182	13598	23911.8	20772.7	28458.6	29675.3	68902.1	13883.5	15622	24656.7
SERPINB9	3733.38	3415.43	7436.27	2102.78					70663.6	88821.9	101216	77502.2	87726.4	128771	116494	97045.1
SERPINC1	8284.07	2154.69	3349.44		1662.88	1091.87	1377.61	1829.97	3052.79	1478.45	3679.14	4092.72	2026.86	2176.53	2196.4	1935.94
SERPINE1	4308.27	3146.29	2909.11	3698.28	2973.68											
SERPINE2	7686.06	7205.46	8112.73	4372.79	9302.97	5113.33	11050.2	7924.11	17346.3	8196.92	16770	17759	43510.6	3917.81	3891.57	10195.7
SERPINF1	4757.08	1613.16	1779.18	1084.56	1704.3				1822.01	1472.22	1889.64	1880.06		983.802	1257.04	
SERPING1	9946.71	2377.21	2269.54					3436.57	7559.54	8536.57	7542.4	12142.1	2289.33	2617.35	1342.48	2259.5
SERPINH1	914174	1.01828e+06	1.25621e+06	780553	44362.8	50768.3	36416.5	35826.6	81763.8	83774.7	180625	82643.3	60404.1	55535.2	60050.1	59858.5
SERPINI1	4685.11	757.187								699.308						
SESN1		1612.37		1549.84					2704.82	2904.33	1999.83	2832.21	1929.24	3269.63	1996.52	
SESN2	19359.7	20803	16150	18118.3		4939.66	5976.81		13328.2	12782.1	15295.6	18331.1	22011.5	16515.7	15246.1	16275.8
SESN3	5322.32	7868.64	9526.36	6446.89	10305.7	6810.71										
SESTD1	3375.61	2569.33	2836.22	2560.97	1739.44		2558.82		2976.69					1990.81	1376.44	
SET	153623	133622	102874	118234	339074	224720	161820	183587	223592	156840	143883	188453	232329	205539	235209	205578
SETD1A	4102.6	4615.18	5087.81	4366.57	4032.48	4234.08	5316.21	4394.11	5454.51	3789.4	4156.56	4530.24	6710.67	3866.89	4246.64	5197.22
SETD1B	572.771	597.686	518.504	1145.45	715.844	1133.93	516.706	887.499	621.153	605.053	469.263	914.358	647.375	589.016	427.475	615.847
SETD2	18178.4	12119		15557.9	11582.2	9556.44	6730.94	8084.24	15254.7	9363.55		12831.5	10108.1		4489.12	5108.29
SETD3	14215.6	11603.2	10607.3	11463.4	7539.75	7845.86	7302.33	7292.85	18856.5	18374	17850.7	18539.3	18451.5	17662.5	16739.7	17688
SETD7	3486.11	3299.76	5975.62	3892.2	2817.33	2362.7	1942.07	2872.23	4362.97	4991.15	5016.31	3177.99	3737.45	4250.72	4322.04	4953.09
SETDB1	3737.09	3345.6	2559.19	3105.39	3407.17	2166.38	2870.3	2806.78	3395.53	2772.31	2909.58	3451.14	2972.96	3258.95	2764.58	3248.3
SETMAR	2243.87	2708.62	2868.36	1831.6	3384.3	2937.85	3010	2962.45	1841.78	2107.65	2531.27	2010.48	2315.96	1140.79	2098.01	
SETX	3055.61	2626.57	3034.86	2102.2	3064.62	2852.91	3971.04	3714.13		3390.03	2909.09	4699.26	5547.1	3304.48	3437.98	3219.74
SF1	44839.2	42848.6	44234.3	35394.8	39138.4	37900.4	42261	44523.6	40995.6	55169.3	39107.9	42327.6	54139.6	64413.9	46172.6	52700.7
SF3A1	65993.3	69106.1	61043.4	65269.5	73079.4	80153.4	77940.6	76903.7	61695.6	59714.6	53361.6	63718	62381.9	72543.3	66795.2	61656.9
SF3A2	21542.7	22409.1	30482.1	22037.8	14094.4	20785.6	17981	17578.3	22918.6	27999.1	23023.3	26197.4	26772.8	29947.6	27602.1	25422
SF3A3	21874.6	26673.9	34979.6	25157.5	22706.6	21553	19054.3	26364.7	26637.6	29677.5	29828	30507.1	35015.6	33451.4	29224.4	35551.3
SF3B1	55926.4	52117.3	53205.6	53718.6	49772	59270	52934.4	53986.9	51056.5	51039.7	47176.8	51423.7	53819.1	59256.6	59520.1	54720.4
SF3B2	76817.3	70112.1	73350.6	69876.6	87990.2	83073.3	79431.5	82579.9	74049.3	63648.8	59069	70705.1	74215.9	73588	69157.3	81891.4
SF3B3	54719.5	55636	75424.6	58573.8	58567.1	60426.3	53951.2	64205.3	63837.2	70130.4	61317.4	61207.1	63573.8	73759.5	68924.7	65324.5
SF3B4	5914.23	7896.76	11605.2	6469.89	4580.98	5579.05	4150.71	4217.76	15288.6	15071.5	15284.2	15856.2	16747.8	23557.7	20110.4	19229.6
SF3B5		1562.96	2449.64						2754.72	4582.95	3428.72	1975.32	2417.22	5000.56	5252.05	4011.49
SF3B6	12083.6	16427.5	17152.8	12957.5	33047.4	14348.6	17691.6	19204.6	26663.6	25033.5	24102	23690.5	20636.6	29416.1	26669.4	24175.6
SFN	5470.27	4934.05	15722.6	2175.58		3818.35	6974.01	3473.34		7974.66	15050.5	8116.58	14213.4	5880.88	4280.54	
SFPQ	141967	141637	171679	142328	158764	181643	142183	150685	156135	168873	147314	158736	181773	197768	186137	164299
SFSWAP	5336.29	3983.84	4711.99	3320.02	6824.35	6603.13	6585.21	6313.69	4674.23	3547.16	4092.59	5955.79	3746.64	4351.96	4151.4	3787.55
SFT2D2	10483.8	8839.6	8092.25	10227.9	10766	13253	10295	11641.4	24760.1	12180.1	15392.4	19418.1	23460.6	14410.6	16562.1	18577.3
SFT2D3	7374.73	6887.19	5607.97	4590.85				1171.99		2248.09	2455.63					
SFXN1	48196	48539.5	50582.6	51086.8	45032.8	46426.2	49101.3	48768	27956.6	27224	24936.2	29811.2	39432.7	34886.3	29719.8	34181.1
SFXN2	4641.83	3484.54	2911.96	3160.88	1973.24	2788.03	3752.29	2488.47	6006.54	7207.05	7182.5	7709.2	5536.93	5914.29	4796.2	6056.48
SFXN3	85855.2	100979	104349	101580	49756.8	50079.6	44752.2	50656.8	126095	159075	138626	135935	165964	179903	177878	170111
SFXN4	4952.39	4766.52	5120.92	4199.71	7956.48	7543.56	12011.3	9898.38	8447.91	9680.52	8442.87	8426.09	10348.8	9179.01	9418.13	8784.91
SFXN5		3052.18							3946.9	7274.24	6776.64	4267.11	4208.01	4610.69	4951.94	3822.1
SGCB		1239.51	1799.34	1666.34												
SGCD	11388.3	13291.2	10660.3	14223.4					6130.36	5772.47	5903.93	8622.02	3876.46			
SGF29	6492.28	5212.9	6702.03	7368.73	4158.93	6538.17	8301.69	7802.65	5852.9	6199.67	5593.61	7337.29	7079.17	5408.97	5726.01	5648.03
SGK3		1661.35	2295.52	1839.36					5843.85	5461.84	4875.56	6187.46	6942.96	5214.12	6247.61	5626.2
SGMS2	4526.81	4820.57	4915.9	4667.56	2765.19		2249.57									
SGPL1	54246.9	46198.8	59192.9	51651.3	29304.7	34877.9	26713.8	31639	76708.8	91804.5	94290.9	79225	76933.5	71886.5	69808.6	65162.6
SGPP1	8973.11	9492.13	8734.33	8527.88	5272.98	6071.57	5112.56	4999.09	24425.6	23981.5	17976.7	23841.3	30566.9	24905.6	26121.9	30473.9
SGSH	6779.9	5462.66	6489.81	4620.38	6230.22	3791.97	3312.23		6570.46	6527.74	6409.69	9842.54	9678.68	5712.87	5347.36	7246.59
SGTA	17963.9	20390	26106.2	17573.1	19434.5	12870.6	20888.2	31984.3	29680.1	32140.1	29250.3	27236.9	30923.5	33576.6	36636.3	26103.2
SGTB	14362.6	13548.4	16194.8	11882.7	8451.67	4795.99	6254.37	5858.63	21998.6	21774.7	25765.6	20595.2	13563.2	13261.1	13512.8	14572.1
SH2B1	3080.16	2879.41		2115.27	3189.09	2292.63	2687.45	2626.25								
SH2B2				659.974					1320.98	1054.77	1194.57	1289.51	2526.33	1907.56	1938.55	2431.7
SH2D4A					8581.69	8807.99	9011.5	9480.73								
SH3BGR					3765.5	3661.93	3662.62	4252.38								
SH3BGRL	107135	116372	115800	90750.2	28628.8	34106.5	26515.7	28238.3	235810	256640	222774	221382	235956	248170	283209	252445
SH3BGRL2	4496.98	2982.78	5000.35	3022.46	5968.75	5373.83	5791.86	5301.39								
SH3BGRL3	132613	131631	99603.5	112785	17377.9	16493.6	13923.5	16410.1	849383	431361	612777	569812	945547	497814	941410	895456
